id;committee_type_code;committee_type;committee_type_details
1;deposit open-source;overriding Sleek;../fake-data/blob/hipster.txt
2;optical;Washington interface;../fake-data/blob/hipster.txt
3;connecting Iraqi partnerships;bandwidth Intranet;../fake-data/blob/hipster.txt
4;Saudi;synthesize;../fake-data/blob/hipster.txt
5;Object-based Internal aggregate;Legacy;../fake-data/blob/hipster.txt
6;Franc;indigo;../fake-data/blob/hipster.txt
7;Avon Brunei Ways;back-end Handcrafted supply-chains;../fake-data/blob/hipster.txt
8;Buckinghamshire;Mouse;../fake-data/blob/hipster.txt
9;1080p;Personal Pennsylvania;../fake-data/blob/hipster.txt
10;Granite;1080p;../fake-data/blob/hipster.txt
