id;reception_date;dealer_name;brief_description;requisition_number;invoiced_amount;disbursement_cost;taxable_amount;requisition_processed;file_upload_token;compilation_token
1;2021-07-21;Borders Pizza;hacking;Wyoming AI;30766;47202;23845;true;gold;Turnpike Architect Automotive
2;2021-07-21;Park Facilitator;Identity connecting;users Cape pixel;35081;80632;43085;false;Bacon blue;Illinois GB
3;2021-07-21;groupware Dynamic dedicated;Representative matrix;value-added Home TCP;30278;32809;31739;false;Chicken Grove;Sterling
4;2021-07-20;transmitter;orchestrate payment;Supervisor encompassing;38252;74458;88171;false;bleeding-edge Tools River;Card
5;2021-07-21;bluetooth;Fish Wooden Security;Egypt;64385;75760;40900;true;Assistant Sports Wooden;Pound
6;2021-07-20;indexing Colorado;Coordinator communities Lead;Gorgeous schemas mobile;64074;74220;17659;true;olive enable;Borders Fresh Mouse
7;2021-07-21;state Ergonomic;morph withdrawal;application;20188;86299;56637;false;calculate pink Islands;Agent vortals 5th
8;2021-07-21;Visionary recontextualize;hack;cross-platform Applications Bedfordshire;84375;2472;34820;true;Money Public-key Quality;Forward
9;2021-07-21;Metal collaborative;Pants website Principal;programming;25835;87934;38837;true;parse;Aruba open-source Awesome
10;2021-07-21;application;productize Serbia;Cotton;43754;48271;92921;false;Automotive;Shirt
