id;asset_tag;asset_details;comments;comments_content_type;model_number;serial_number;asset_category_id;dealer_id
1;Analyst monitoring scalable;Cotton Buckinghamshire;../fake-data/blob/hipster.png;image/png;Generic;Baby Home Sausages;1;1
2;Rubber array;application;../fake-data/blob/hipster.png;image/png;digital transition;workforce functionalities;2;2
3;clicks-and-mortar;deposit payment;../fake-data/blob/hipster.png;image/png;Gorgeous;Forward e-services;3;3
4;Oklahoma Organic;PCI transition Concrete;../fake-data/blob/hipster.png;image/png;deposit Infrastructure neural-net;technologies innovate Infrastructure;4;4
5;Computers Sleek;Riel enable Refined;../fake-data/blob/hipster.png;image/png;Investment Fresh;Account;5;5
6;scalable plum Web;Rubber Hawaii;../fake-data/blob/hipster.png;image/png;transmit Borders invoice;Computer;6;6
7;customized cyan;supply-chains Developer;../fake-data/blob/hipster.png;image/png;Maine fuchsia;Market;7;7
8;France;schemas;../fake-data/blob/hipster.png;image/png;bypassing exuding Metrics;FTP Maldives;8;8
9;quantify Markets payment;Adaptive system-worthy;../fake-data/blob/hipster.png;image/png;Unbranded action-items;white;9;9
10;Extended Jewelery;Metal e-services synthesize;../fake-data/blob/hipster.png;image/png;firewall Hryvnia Incredible;Norwegian Refined;10;10
