id;complaint_status_type_code;complaint_status_type;complaint_status_details
1;Director;brand Berkshire feed;../fake-data/blob/hipster.txt
2;AGP Granite;payment Fresh Architect;../fake-data/blob/hipster.txt
3;Throughway Public-key scale;reboot productize wireless;../fake-data/blob/hipster.txt
4;ADP;Fantastic;../fake-data/blob/hipster.txt
5;input Mission matrix;Computer pixel AI;../fake-data/blob/hipster.txt
6;Sleek Visionary blockchains;port orchestrate content-based;../fake-data/blob/hipster.txt
7;quantifying copying;payment Shoal drive;../fake-data/blob/hipster.txt
8;cross-platform intranet encoding;Human;../fake-data/blob/hipster.txt
9;California;Buckinghamshire Assistant Costa;../fake-data/blob/hipster.txt
10;B2C Handmade copy;back-end copying;../fake-data/blob/hipster.txt
