id;account_status_type_code;account_status_type;account_status_type_details
1;Checking;Checking exploit;../fake-data/blob/hipster.txt
2;Awesome haptic;purple Land fault-tolerant;../fake-data/blob/hipster.txt
3;IB Principal;grey Keyboard;../fake-data/blob/hipster.txt
4;Secured;index Managed;../fake-data/blob/hipster.txt
5;fuchsia Kids Planner;Officer parallelism maximized;../fake-data/blob/hipster.txt
6;Seamless XML;extend;../fake-data/blob/hipster.txt
7;Assurance well-modulated function;Franc Regional payment;../fake-data/blob/hipster.txt
8;Graphic Generic;Virginia;../fake-data/blob/hipster.txt
9;Toys JBOD e-enable;utilisation Malta Consultant;../fake-data/blob/hipster.txt
10;Account;SMTP;../fake-data/blob/hipster.txt
