id;product_code;product_type;product_type_description
1;Shilling;Marketing;../fake-data/blob/hipster.txt
2;New redundant invoice;mission-critical;../fake-data/blob/hipster.txt
3;Outdoors Fundamental;initiative alliance;../fake-data/blob/hipster.txt
4;Branding Program;instruction Plastic;../fake-data/blob/hipster.txt
5;Cheese bandwidth compressing;Orchestrator matrices;../fake-data/blob/hipster.txt
6;mobile;plum Shoes payment;../fake-data/blob/hipster.txt
7;Steel Rue;platforms Investor Cambridgeshire;../fake-data/blob/hipster.txt
8;CFA Bike Marino;Virginia;../fake-data/blob/hipster.txt
9;Fresh;Intranet indexing magenta;../fake-data/blob/hipster.txt
10;visionary;mobile withdrawal;../fake-data/blob/hipster.txt
