id;delivery_note_number;document_date;description;serial_number;quantity;remarks;received_by_id;supplier_id
1;Coordinator TCP;2022-03-02;Shoes Passage Kenyan;payment;20383;../fake-data/blob/hipster.txt;1;1
2;architecture;2022-03-02;Concrete secondary compress;Avon strategic Bedfordshire;77715;../fake-data/blob/hipster.txt;2;2
3;Bacon SSL;2022-03-02;global 24/7 Computers;Incredible cultivate;50253;../fake-data/blob/hipster.txt;3;3
4;invoice;2022-03-02;enhance functionalities solid;experiences Mobility blockchains;69971;../fake-data/blob/hipster.txt;4;4
5;payment Hat navigating;2022-03-02;yellow;Intelligent;92645;../fake-data/blob/hipster.txt;5;5
6;Officer;2022-03-02;Concrete;Account Borders;12590;../fake-data/blob/hipster.txt;6;6
7;paradigms JSON Facilitator;2022-03-02;seamless;object-oriented;18680;../fake-data/blob/hipster.txt;7;7
8;Music;2022-03-02;magenta;granular lavender;24316;../fake-data/blob/hipster.txt;8;8
9;white Steel mobile;2022-03-02;Outdoors Refined;Borders;62809;../fake-data/blob/hipster.txt;9;9
10;reboot Refined Designer;2022-03-02;Utah enable invoice;orange;89295;../fake-data/blob/hipster.txt;10;10
