id;card_type_code;card_type;card_type_details
1;fresh-thinking;Account Rial;../fake-data/blob/hipster.txt
2;Market Greece Bedfordshire;THX Fantastic;../fake-data/blob/hipster.txt
3;Harbor maroon;Handcrafted;../fake-data/blob/hipster.txt
4;Beauty Multi-lateral online;Intuitive;../fake-data/blob/hipster.txt
5;Handmade Steel;Metrics pixel;../fake-data/blob/hipster.txt
6;back-end;Dynamic;../fake-data/blob/hipster.txt
7;JSON Comoros Pre-emptive;withdrawal supply-chains SDD;../fake-data/blob/hipster.txt
8;solutions Adaptive;Investment CSS Motorway;../fake-data/blob/hipster.txt
9;Computer Engineer transmitting;Internal card auxiliary;../fake-data/blob/hipster.txt
10;ROI Berkshire;Bedfordshire utilisation;../fake-data/blob/hipster.txt
