id;account_status_code;account_status_type;account_status_description
1;digital;ACTIVE;../fake-data/blob/hipster.txt
2;discrete;CLOSED;../fake-data/blob/hipster.txt
3;Cliffs challenge infrastructures;CLOSED;../fake-data/blob/hipster.txt
4;withdrawal;ACTIVE;../fake-data/blob/hipster.txt
5;defect Creative;INACTIVE;../fake-data/blob/hipster.txt
6;olive Future;ACTIVE;../fake-data/blob/hipster.txt
7;navigating;CLOSED;../fake-data/blob/hipster.txt
8;compressing bandwidth;CLOSED;../fake-data/blob/hipster.txt
9;granular;DORMANT;../fake-data/blob/hipster.txt
10;Account hierarchy;CLOSED;../fake-data/blob/hipster.txt
