id;staff_current_employment_status_type_code;staff_current_employment_status_type;staff_current_employment_status_type_details
1;deposit Gloves maximized;Realigned;../fake-data/blob/hipster.txt
2;Money monetize;schemas Islands;../fake-data/blob/hipster.txt
3;Automated Washington;index real-time;../fake-data/blob/hipster.txt
4;Mountains tolerance contextually-based;FTP matrix distributed;../fake-data/blob/hipster.txt
5;Intelligent Steel convergence;Granite;../fake-data/blob/hipster.txt
6;Solutions;Account encompassing scalable;../fake-data/blob/hipster.txt
7;Practical interfaces;Arizona;../fake-data/blob/hipster.txt
8;empower;invoice;../fake-data/blob/hipster.txt
9;Vision-oriented Realigned Drive;indexing grid-enabled Computers;../fake-data/blob/hipster.txt
10;Personal;Wooden;../fake-data/blob/hipster.txt
