id;sequence_number;particulars;dealer_name;instalment_transaction_number;instalment_transaction_date;iso_4217_code;instalment_amount;total_transfer_amount;outstanding_amount
1;haptic Designer;calculating Integration Rustic;Courts;embrace Phased;2023-10-29;District compressing;21604;50841;45601
2;Ball;Clothing;Avon;Analyst green;2023-10-29;online bottom-line Agent;86695;5659;18283
3;Islands Silver;Salad Senior;Baby Director Dollar;Dinar;2023-10-29;indigo Frozen Leone;84649;17494;65912
4;withdrawal payment;Incredible dynamic;didactic Connecticut;Metal;2023-10-30;online incremental;62651;14415;28550
5;bypass Cambridgeshire;Outdoors Shirt Wisconsin;Architect;Devolved;2023-10-30;olive;5025;47472;66627
6;portals mobile;transmit infrastructures;Bedfordshire hacking Granite;system Islands;2023-10-30;blue;27370;72982;52057
7;Intelligent Money;Harbor Nakfa;programming;Concrete static;2023-10-30;Networked;20786;14490;18975
8;bypassing connect system;optimize Research Dynamic;online;well-modulated salmon Saint;2023-10-30;Fantastic;18936;43378;34353
9;Human Path Mobility;Music blockchains;Creative Sausages invoice;24/7;2023-10-30;Loan Analyst;34417;81181;80336
10;infomediaries Outdoors HDD;maroon Louisiana interface;Andorra web-readiness;copy;2023-10-29;Mozambique Generic Networked;86243;12977;51460
