id;customer_type_code;customer_type;description
1;Forward Hat magenta;program Kuwait;../fake-data/blob/hipster.txt
2;EXE;Northern;../fake-data/blob/hipster.txt
3;sensor;Well Chad infrastructure;../fake-data/blob/hipster.txt
4;JBOD distributed Ruble;up;../fake-data/blob/hipster.txt
5;protocol Wooden;FTP bypass withdrawal;../fake-data/blob/hipster.txt
6;up channels;paradigms circuit;../fake-data/blob/hipster.txt
7;Tuna Balanced Executive;functionalities;../fake-data/blob/hipster.txt
8;Web Liberia;Pizza;../fake-data/blob/hipster.txt
9;bypassing Specialist Rustic;array input;../fake-data/blob/hipster.txt
10;evolve;Re-contextualized;../fake-data/blob/hipster.txt
