id;telco_excise_duty;value_added_tax;withholding_vat;withholding_tax_consultancy;withholding_tax_rent;catering_levy;service_charge;withholding_tax_imported_service;file_upload_token;compilation_token
1;39005;86118;21033;8832;11558;43714;31955;57881;Fresh;Fresh
2;2792;66606;42365;55202;91805;92338;60709;52489;Small pixel Buckinghamshire;Shoes online
3;77948;71004;5870;19614;30127;48938;22646;1346;Licensed;Borders
4;12155;83594;80163;61309;71616;48808;90477;60734;frictionless;program Chicken content-based
5;49397;95031;8533;39416;86346;85728;1832;35133;Corporate Salad HTTP;Pennsylvania Colorado Multi-lateral
6;47527;17582;41082;58136;75218;77516;45561;88468;Loan;Gourde
7;37092;25379;85477;25506;88135;72014;19263;73099;visionary haptic intuitive;Vatu Soft ADP
8;39206;82036;6467;59079;26431;60345;13106;59146;optical Alaska;Tuna Pizza
9;81424;74666;56889;7605;83597;96169;3982;82743;Extended;Rubber Global Program
10;54866;2188;16049;74822;13185;94850;6563;80422;architect;global enhance Intranet
