id;financial_derivative_sub_type_code;financial_derivative_sub_tye;financial_derivative_subtype_details
1;withdrawal payment;world-class access Michigan;../fake-data/blob/hipster.txt
2;Health bandwidth override;XSS;../fake-data/blob/hipster.txt
3;Mount GB;pixel;../fake-data/blob/hipster.txt
4;Accounts Hat;Home Automotive;../fake-data/blob/hipster.txt
5;Ergonomic;Kids Universal;../fake-data/blob/hipster.txt
6;Implementation SQL;Reduced Supervisor;../fake-data/blob/hipster.txt
7;yellow Technician;mobile feed Belarus;../fake-data/blob/hipster.txt
8;SCSI Sleek;Car Switchable;../fake-data/blob/hipster.txt
9;withdrawal Borders;Account;../fake-data/blob/hipster.txt
10;Bedfordshire SQL;zero navigating Ameliorated;../fake-data/blob/hipster.txt
