id;bank_code;bank_name;branch_code;branch_name;notes
1;rich Hat Wooden;Hat Bulgarian;Rubber;THX Towels system;Savings generate
2;Bouvet Metal;Bike wireless Infrastructure;Cote;feed Chief fuchsia;high-level Bedfordshire
3;Kids Lebanon Robust;deposit Monitored Georgia;Idaho;magenta vertical Rustic;partnerships
4;Road haptic;drive;index Tugrik microchip;matrix calculating;Infrastructure
5;compressing;website;Kentucky Account;THX intangible;Concrete
6;Berkshire Specialist Steel;schemas harness;Avon;Gorgeous;Licensed infrastructures Bedfordshire
7;markets;PNG intangible multi-byte;United;Dollar salmon Fork;solutions Gloves Isle
8;toolset holistic;database Checking superstructure;Dollar driver;Cambridgeshire Accounts Manager;Saudi
9;compressing;Tuna deposit;strategize Bike;1080p functionalities;Chicken
10;Lock Card;microchip;Refined;Kong capacitor Functionality;neural-net protocol
