id;asset_number;service_outlet_code;asset_tag;asset_description;depreciation_date;asset_category;depreciation_amount;depreciation_regime;file_upload_token;compilation_token
1;79962;bypass Licensed;Phased;Pizza Hungary Hampshire;2021-03-23;tolerance online;4252;STRAIGHT_LINE_BASIS;Avon;Generic Programmable Group
2;99987;EXE scale Research;transparent Tools;Franc;2021-03-22;deposit;86931;STRAIGHT_LINE_BASIS;local monetize;invoice Corporate Applications
3;21041;Plastic;and;payment Future;2021-03-23;Investor Salad;50713;STRAIGHT_LINE_BASIS;empowering digital;Gorgeous
4;56864;Arab;distributed;digital Savings Nakfa;2021-03-23;primary feed overriding;87594;STRAIGHT_LINE_BASIS;task-force iterate bypass;Key back Industrial
5;95544;Australia;maroon Paradigm;reboot;2021-03-23;Implementation Checking;14601;STRAIGHT_LINE_BASIS;Baby;Practical
6;69246;grow Account invoice;Soap Berkshire;Licensed Arkansas;2021-03-23;transmit Soap PNG;91344;STRAIGHT_LINE_BASIS;Data UIC-Franc;Metical Unbranded
7;27152;program Sausages 1080p;applications payment sky;Progressive monitor Arizona;2021-03-22;Investor Licensed Assistant;50820;DECLINING_BALANCE_BASIS;Pound solid;Reactive Computer UIC-Franc
8;76008;Representative;Concrete;extend Technician Wooden;2021-03-23;Berkshire;31236;STRAIGHT_LINE_BASIS;Fully-configurable yellow;South withdrawal
9;88979;Ergonomic;XSS;Orchestrator Customer Web;2021-03-23;indexing;82360;DECLINING_BALANCE_BASIS;Forward;Bedfordshire methodical
10;19669;upward-trending Auto;Regional Multi-tiered Japan;analyzing overriding Forward;2021-03-23;scalable Electronics open;18799;DECLINING_BALANCE_BASIS;stable;transition mobile Rubber
