id;customer_complaint_status_type_code;customer_complaint_status_type;customer_complaint_status_type_details
1;Rubber;monitor magnetic;../fake-data/blob/hipster.txt
2;panel e-commerce Islands;Dollar intranet;../fake-data/blob/hipster.txt
3;Incredible;Intelligent;../fake-data/blob/hipster.txt
4;Avon Gambia;proactive Vincent Samoa;../fake-data/blob/hipster.txt
5;Loan olive Money;Realigned Clothing Lempira;../fake-data/blob/hipster.txt
6;AI synergies;Forward salmon;../fake-data/blob/hipster.txt
7;input white Computers;bleeding-edge deploy Frozen;../fake-data/blob/hipster.txt
8;JSON Papua Swedish;Arizona scalable Checking;../fake-data/blob/hipster.txt
9;solutions Future Tennessee;FTP Guinea;../fake-data/blob/hipster.txt
10;cyan Customizable JSON;Costa maximized Marketing;../fake-data/blob/hipster.txt
