id;precedence;column_name;short_name;detailed_definition;data_type;length;column_index;mandatory_field_flag;business_validation;technical_validation;db_column_name;metadata_version
1;47403;Square;blue brand;../fake-data/blob/hipster.txt;action-items Koruna;1548;Frozen;N;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;B2C Health Forward;47500
2;12081;Mission;flexibility;../fake-data/blob/hipster.txt;transparent;74600;Creative;N;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Steel recontextualize Investment;80273
3;61142;evolve user-facing;scale;../fake-data/blob/hipster.txt;invoice background functionalities;76651;white;Y;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Metical Directives;25589
4;73181;Buckinghamshire eyeballs;Engineer USB;../fake-data/blob/hipster.txt;bluetooth Front-line Analyst;98427;Steel;Y;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Right-sized Delaware Frozen;63572
5;42495;Engineer;orchestrate;../fake-data/blob/hipster.txt;Rustic Afghani;64773;Fall Intelligent Handcrafted;N;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;niches;5025
6;67715;Intelligent;frictionless;../fake-data/blob/hipster.txt;Pennsylvania Plastic Kazakhstan;74142;bypass Fresh toolset;Y;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Wooden Salad;90774
7;58477;Advanced;transmitting Soft;../fake-data/blob/hipster.txt;enable Licensed Steel;97231;Stravenue;N;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;dynamic Planner withdrawal;8880
8;68493;service-desk Forward vortals;Branding interface Sports;../fake-data/blob/hipster.txt;virtual black;1184;revolutionize Cotton generate;N;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Metal Direct;45944
9;44607;Metal leverage;SSL card;../fake-data/blob/hipster.txt;Falls lavender;68319;bypass;Y;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Motorway violet;7215
10;76255;Rubber Home;Dynamic protocol Group;../fake-data/blob/hipster.txt;haptic;78508;Beauty parse;Y;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Idaho;62377
