id;settlement_date;invoice_amount;invoice_reference;variance_amount;variance_reason;posting_id;reconciliation_status;lease_contract_id;period_id;lease_payment_id
1;2024-06-30;25000;LS-INV-0001;0;MATCHED;;RECONCILED;1;1;1
2;2024-06-30;18000;LS-INV-0002;-2000;PARTIAL;;VARIANCE;2;1;2
3;2024-07-31;32500;LS-INV-0003;1500;OVER;;VARIANCE;3;2;3
4;2024-07-31;15000;LS-INV-0004;0;MATCHED;;RECONCILED;4;2;4
5;2024-08-31;9500;LS-INV-0005;-500;PARTIAL;;VARIANCE;5;3;5
6;2024-08-31;12000;LS-INV-0006;0;MATCHED;;RECONCILED;6;3;6
7;2024-09-30;27500;LS-INV-0007;0;MATCHED;;RECONCILED;7;4;7
8;2024-09-30;19000;LS-INV-0008;-1000;PARTIAL;;VARIANCE;8;4;8
9;2024-10-31;21000;LS-INV-0009;2000;OVER;;VARIANCE;9;5;9
10;2024-10-31;16500;LS-INV-0010;0;MATCHED;;RECONCILED;10;5;10
