id;reporting_date;terminal_id;merchant_id;terminal_name;terminal_location;iso_6709_latitute;iso_6709_longitude;terminal_opening_date;terminal_closure_date;terminal_type_id;terminal_functionality_id;physical_location_id;bank_id_id;branch_id_id
1;2023-10-03;e-services Computer;Rustic synthesize;Plastic;generation Direct;81838;87128;2023-10-04;2023-10-04;1;1;1;1;1
2;2023-10-04;Tugrik Operations cross-platform;back-end Plastic Gorgeous;calculating experiences;utilize;65636;19257;2023-10-03;2023-10-03;2;2;2;2;2
3;2023-10-03;synthesizing;payment optimizing;Tasty;invoice Strategist olive;56788;69638;2023-10-03;2023-10-03;3;3;3;3;3
4;2023-10-04;teal Steel;Steel Ball Uruguay;Engineer;Trafficway;82633;59870;2023-10-03;2023-10-03;4;4;4;4;4
5;2023-10-03;Games 4th;Ergonomic Consultant Awesome;invoice Pound;Human microchip;5211;2681;2023-10-04;2023-10-03;5;5;5;5;5
6;2023-10-04;hack;Associate Dynamic;Representative Germany National;Proactive Paradigm Account;98704;12633;2023-10-04;2023-10-03;6;6;6;6;6
7;2023-10-04;Granite;Dollar;Ferry;Outdoors Soft;17638;40495;2023-10-03;2023-10-04;7;7;7;7;7
8;2023-10-03;Open-source integrated;Points International;Helena navigating;disintermediate compress Avon;19832;11808;2023-10-03;2023-10-03;8;8;8;8;8
9;2023-10-04;holistic;mesh lime;24/365 transmit Fish;violet Account;42749;40514;2023-10-04;2023-10-03;9;9;9;9;9
10;2023-10-04;application Up-sized;cutting-edge Orchestrator visualize;Corporate;UIC-Franc silver;62487;40237;2023-10-03;2023-10-04;10;10;10;10;10
