id;loan_account_mutation_code;loan_account_mutation_type;loan_account_mutation_details;loan_account_mutation_description
1;Berkshire Fully-configurable;WRITTEN_OFF;card;../fake-data/blob/hipster.txt
2;application state deposit;WRITTEN_OFF;B2C;../fake-data/blob/hipster.txt
3;motivating;WRITTEN_OFF;Plain;../fake-data/blob/hipster.txt
4;integrate RAM;WRITTEN_OFF;back;../fake-data/blob/hipster.txt
5;foreground;WRITTEN_OFF;Guarani;../fake-data/blob/hipster.txt
6;Bedfordshire;RESTRUCTURED;generate Virginia transmitting;../fake-data/blob/hipster.txt
7;withdrawal Riel;RESTRUCTURED;withdrawal high-level;../fake-data/blob/hipster.txt
8;Chips e-commerce HTTP;NPL_RECOVERY;back-end;../fake-data/blob/hipster.txt
9;deposit Islands black;WRITTEN_OFF;methodologies Integrated;../fake-data/blob/hipster.txt
10;Steel Intuitive International;WRITTEN_OFF;web-enabled Vermont;../fake-data/blob/hipster.txt
