id;asset_number;service_outlet_code;asset_tag;asset_description;net_book_value_date;asset_category;net_book_value;depreciation_regime;file_upload_token;compilation_token
1;63850;Computer;generate mobile Zambian Kwacha;Afghani Shoes synthesizing;2021-03-22;interactive;58572;DECLINING_BALANCE_BASIS;fuchsia facilitate;productize Fish Diverse
2;19033;implement;database SCSI;Chief Borders;2021-03-22;Shoes;73982;STRAIGHT_LINE_BASIS;Granite;Pike Virtual
3;19834;productize Burkina Faso Outdoors;Money Market Account;Decentralized;2021-03-23;California SMS back-end;56529;STRAIGHT_LINE_BASIS;New Hampshire;backing up portals
4;9748;Triple-buffered ivory Cheese;Licensed;withdrawal Bermuda;2021-03-23;Auto Loan Account Industrial Michigan;35859;DECLINING_BALANCE_BASIS;standardization Reunion;Personal Loan Account functionalities
5;11704;Hat Ergonomic Cotton Ball;metrics Checking Account calculating;Arizona Pants Corporate;2021-03-22;Dynamic;48437;STRAIGHT_LINE_BASIS;out-of-the-box;Underpass
6;17916;Mobility North Dakota;Rustic Soft Hat Slovenia;interface bifurcated Regional;2021-03-22;functionalities enterprise Mouse;76128;STRAIGHT_LINE_BASIS;Factors;Marshall Islands architect Extended
7;71098;Clothing transmitting IB;port Cliff synthesize;Buckinghamshire Metal viral;2021-03-22;CFA Franc BCEAO;96658;DECLINING_BALANCE_BASIS;Security;Station task-force
8;51886;Down-sized;South Dakota;info-mediaries Cambridgeshire Antarctica (the territory South of 60 deg S);2021-03-22;Small Rubber Soap;24143;STRAIGHT_LINE_BASIS;Corporate;Inverse SAS index
9;87286;Multi-channelled;European Monetary Unit (E.M.U.-6);system-worthy;2021-03-22;partnerships;35276;STRAIGHT_LINE_BASIS;Fresh Michigan Maine;Agent Pants
10;73246;programming Right-sized;Iraq;input deliverables concept;2021-03-23;Connecticut;51430;STRAIGHT_LINE_BASIS;Kentucky eyeballs drive;Rial Omani Unbranded Steel Table Program
