id;description;file_name;period_from;period_to;file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Functionality firewall hard drive;markets Dobra Extensions;2021-04-14;2021-04-13;23806;../fake-data/blob/hipster.png;image/png;false;false;vertical
2;Re-engineered Down-sized;XSS;2021-04-14;2021-04-14;23078;../fake-data/blob/hipster.png;image/png;false;false;Tactics vortals product
3;unleash Hills;Phased;2021-04-14;2021-04-14;30604;../fake-data/blob/hipster.png;image/png;false;true;deposit
4;Gorgeous fuchsia Jewelery;Wooden calculating deposit;2021-04-13;2021-04-13;67184;../fake-data/blob/hipster.png;image/png;false;true;Cambridgeshire
5;Tanzanian Shilling Kip flexibility;card;2021-04-14;2021-04-14;21787;../fake-data/blob/hipster.png;image/png;true;true;innovate withdrawal engage
6;Sleek Wooden Car Response;vertical;2021-04-14;2021-04-13;25145;../fake-data/blob/hipster.png;image/png;false;false;Australian Dollar disintermediate
7;Practical;Cotton methodologies brand;2021-04-13;2021-04-14;59026;../fake-data/blob/hipster.png;image/png;true;false;virtual Gorgeous Automotive
8;alarm Direct;Iceland Incredible;2021-04-14;2021-04-14;83121;../fake-data/blob/hipster.png;image/png;true;true;GB French Guiana copying
9;Sports;haptic Shoes Investment Account;2021-04-13;2021-04-14;98060;../fake-data/blob/hipster.png;image/png;true;false;Directives Home Loan Account Cliff
10;empowering;interface Ville seize;2021-04-14;2021-04-13;5020;../fake-data/blob/hipster.png;image/png;true;true;Human
