id;card_charge_type;card_charge_type_name;card_charge_details
1;back-end Island Configuration;generate Ghana;../fake-data/blob/hipster.txt
2;purple Orchestrator Computers;Synergistic;../fake-data/blob/hipster.txt
3;human-resource;THX;../fake-data/blob/hipster.txt
4;relationships;clear-thinking Checking;../fake-data/blob/hipster.txt
5;Loan transmit;Connecticut COM cyan;../fake-data/blob/hipster.txt
6;olive HDD extend;Cambridgeshire Knolls generate;../fake-data/blob/hipster.txt
7;Buckinghamshire;Steel protocol Oklahoma;../fake-data/blob/hipster.txt
8;Buckinghamshire generate;deposit Quality;../fake-data/blob/hipster.txt
9;Cambridgeshire Division Checking;frictionless context-sensitive;../fake-data/blob/hipster.txt
10;bluetooth backing Chicken;maroon;../fake-data/blob/hipster.txt
