id;record_file_type_code;record_file_type;record_file_type_details
1;Extended;Pants;../fake-data/blob/hipster.txt
2;solid indigo;Venezuela;../fake-data/blob/hipster.txt
3;Senegal next;Maryland;../fake-data/blob/hipster.txt
4;Quality;deposit Loan Car;../fake-data/blob/hipster.txt
5;deposit;Wyoming;../fake-data/blob/hipster.txt
6;Planner override Cotton;SQL hard Hawaii;../fake-data/blob/hipster.txt
7;Gibraltar;pixel;../fake-data/blob/hipster.txt
8;compressing deposit portals;AGP;../fake-data/blob/hipster.txt
9;reboot;Dollar Market orchestrate;../fake-data/blob/hipster.txt
10;Mount Concrete virtual;Human intranet;../fake-data/blob/hipster.txt
