id;crb_credit_application_status_type_code;crb_credit_application_status_type;crb_credit_application_status_details
1;invoice lime;Account Chips mission-critical;../fake-data/blob/hipster.txt
2;RAM capability;interfaces invoice;../fake-data/blob/hipster.txt
3;Gorgeous;Product Automated parallelism;../fake-data/blob/hipster.txt
4;Handmade;back-end Neck;../fake-data/blob/hipster.txt
5;Wisconsin;Developer;../fake-data/blob/hipster.txt
6;Developer B2B Avon;Ohio capacitor;../fake-data/blob/hipster.txt
7;withdrawal transition;JSON South Global;../fake-data/blob/hipster.txt
8;Tasty;Awesome;../fake-data/blob/hipster.txt
9;New payment connect;intangible hierarchy teal;../fake-data/blob/hipster.txt
10;multimedia Table;Handmade;../fake-data/blob/hipster.txt
