id;security_type_code;security_type;security_type_details
1;Isle parse Metrics;fresh-thinking;../fake-data/blob/hipster.txt
2;yellow;purple;../fake-data/blob/hipster.txt
3;Idaho payment;Checking Investor e-services;../fake-data/blob/hipster.txt
4;Liaison;Handcrafted benchmark analyzing;../fake-data/blob/hipster.txt
5;transition function;Account Gorgeous;../fake-data/blob/hipster.txt
6;cross-platform;Meadows up;../fake-data/blob/hipster.txt
7;Account invoice;User Land;../fake-data/blob/hipster.txt
8;Human Cotton;definition bluetooth parse;../fake-data/blob/hipster.txt
9;Cotton;Tools;../fake-data/blob/hipster.txt
10;Tasty Fresh;Berkshire;../fake-data/blob/hipster.txt
