id;reporting_date;customer_id;related_party_id;bank_code_id;branch_id_id;relationship_type_id
1;2023-10-03;Credit;Planner Fresh portals;1;1;1
2;2023-10-03;Tasty;Communications leading-edge Expressway;2;2;2
3;2023-10-03;sensor virtual Quality;Beauty migration;3;3;3
4;2023-10-03;Pre-emptive world-class;web Steel Lead;4;4;4
5;2023-10-03;Incredible;Bacon;5;5;5
6;2023-10-03;New experiences;plug-and-play proactive recontextualize;6;6;6
7;2023-10-03;Handmade York;generate;7;7;7
8;2023-10-04;cohesive Global neural;wireless Cambridgeshire;8;8;8
9;2023-10-04;maximized SSL Shirt;Branding;9;9;9
10;2023-10-03;Avon mission-critical;encoding invoice e-services;10;10;10
