id;loan_restructure_item_code;loan_restructure_item_type;loan_restructure_item_details
1;syndicate Movies invoice;Birr Indian;../fake-data/blob/hipster.txt
2;Advanced;Colorado Rest Orchestrator;../fake-data/blob/hipster.txt
3;auxiliary synthesizing Cambridgeshire;circuit bypass;../fake-data/blob/hipster.txt
4;invoice Account;grid-enabled Customer;../fake-data/blob/hipster.txt
5;Account National;Wooden Uzbekistan;../fake-data/blob/hipster.txt
6;application Shirt;Internal Manat;../fake-data/blob/hipster.txt
7;Towels withdrawal leverage;group;../fake-data/blob/hipster.txt
8;digital Avenue;Avon interface;../fake-data/blob/hipster.txt
9;transmitter Fish Cambridgeshire;Analyst microchip Garden;../fake-data/blob/hipster.txt
10;Kwanza Secured;Denar Licensed;../fake-data/blob/hipster.txt
