id;card_fraud_category_type_code;card_fraud_category_type;card_fraud_category_type_description
1;compress Borders;Central Future Central;../fake-data/blob/hipster.txt
2;needs-based;open-source streamline;../fake-data/blob/hipster.txt
3;PCI Bedfordshire up;Wooden;../fake-data/blob/hipster.txt
4;Account Roads;SSL seize;../fake-data/blob/hipster.txt
5;1080p deliverables Buckinghamshire;sticky;../fake-data/blob/hipster.txt
6;payment Credit;functionalities Enhanced;../fake-data/blob/hipster.txt
7;bypass digital;Islands parse;../fake-data/blob/hipster.txt
8;Oro supply-chains;District CSS;../fake-data/blob/hipster.txt
9;quantifying;Virginia;../fake-data/blob/hipster.txt
10;Zimbabwe;Functionality quantifying bluetooth;../fake-data/blob/hipster.txt
