id;payment_number;payment_date;invoiced_amount;payment_amount;description;settlement_currency;calculation_file;calculation_file_content_type;dealer_name;purchase_order_number;file_upload_token;compilation_token
1;Soap killer;2021-06-27;79884;53272;Polarised;GBP;../fake-data/blob/hipster.png;image/png;Wooden;wireless Buckinghamshire;Tools implementation product;matrix
2;Automotive digital;2021-06-27;31263;67238;Keyboard;USD;../fake-data/blob/hipster.png;image/png;syndicate;Swedish Berkshire;Pre-emptive transmit Multi-channelled;Gorgeous
3;target Accountability;2021-06-26;84787;26655;Vermont;KES;../fake-data/blob/hipster.png;image/png;back-end Interactions;Usability indigo;fuchsia Guilder Nuevo;Table Rubber Monitored
4;SDD capacitor;2021-06-26;54353;5969;payment New;INR;../fake-data/blob/hipster.png;image/png;Ameliorated Technician;Avon Virginia Lari;Cheese reboot Borders;Table South
5;Shoes;2021-06-26;3721;20106;Jewelery Intelligent;UGX;../fake-data/blob/hipster.png;image/png;Helena Malaysian;Frozen Car;THX Administrator;program Market
6;USB Senior;2021-06-27;73636;22427;International Metical Wooden;GBP;../fake-data/blob/hipster.png;image/png;Soap;overriding;payment rich;magenta Loan Sleek
7;3rd online teal;2021-06-26;19828;62898;synthesizing;UGX;../fake-data/blob/hipster.png;image/png;Cambridgeshire Islands;impactful;end-to-end;Soft Concrete circuit
8;Gloves Polarised client-driven;2021-06-26;81731;42335;engineer transmitting Rue;CAD;../fake-data/blob/hipster.png;image/png;compress Tactics Multi-lateral;Specialist;hybrid;auxiliary empowering
9;Baby Berkshire;2021-06-27;82768;38317;Wall Namibia;CAD;../fake-data/blob/hipster.png;image/png;connect;Assimilated rich;mobile mobile;Skyway Clothing invoice
10;Metal;2021-06-26;24766;6605;Executive Plastic Vision-oriented;KES;../fake-data/blob/hipster.png;image/png;rich;COM Kids Alaska;Books;Mozambique Gloves
