id;reporting_date;total_number_of_active_credit_cards;total_credit_card_limits_in_ccy;total_credit_card_limits_in_lcy;total_credit_card_amount_utilised_in_ccy;total_credit_card_amount_utilised_in_lcy;total_npa_credit_card_amount_in_fcy;total_npa_credit_card_amount_in_lcy;bank_code_id;customer_category_id;currency_code_id
1;2023-10-03;94798;58844;10403;424;70707;64881;98240;1;1;1
2;2023-10-03;74219;3487;73607;5289;92805;50677;1414;2;2;2
3;2023-10-03;18341;86362;56808;39224;7515;89309;62084;3;3;3
4;2023-10-04;67537;87756;23892;55773;64788;78188;76874;4;4;4
5;2023-10-04;39740;22946;57242;77307;17245;13742;96666;5;5;5
6;2023-10-04;98707;90188;4554;28066;99074;63700;85506;6;6;6
7;2023-10-04;10474;47484;53946;23570;89603;17489;55189;7;7;7
8;2023-10-03;68445;28212;81249;11335;90781;38195;60597;8;8;8
9;2023-10-04;46254;73260;60849;76841;15296;22559;25825;9;9;9
10;2023-10-04;15498;97880;24303;82205;69479;23452;37441;10;10;10
