id;catalogue_number;description;details;details_content_type;total_project_cost;additional_notes;additional_notes_content_type
1;Outdoors Upgradable;payment Jordan;../fake-data/blob/hipster.png;image/png;6113;../fake-data/blob/hipster.png;image/png
2;Frozen Delaware seize;Central optimize;../fake-data/blob/hipster.png;image/png;12841;../fake-data/blob/hipster.png;image/png
3;directional compressing input;ADP Soft;../fake-data/blob/hipster.png;image/png;41921;../fake-data/blob/hipster.png;image/png
4;Guadeloupe COM Expressway;leading-edge;../fake-data/blob/hipster.png;image/png;59228;../fake-data/blob/hipster.png;image/png
5;composite;Algeria Ergonomic;../fake-data/blob/hipster.png;image/png;13493;../fake-data/blob/hipster.png;image/png
6;upward-trending Territory strategize;Savings;../fake-data/blob/hipster.png;image/png;78881;../fake-data/blob/hipster.png;image/png
7;solution iterate;Ergonomic synergy;../fake-data/blob/hipster.png;image/png;46811;../fake-data/blob/hipster.png;image/png
8;Barbados calculate;Practical Missouri;../fake-data/blob/hipster.png;image/png;52137;../fake-data/blob/hipster.png;image/png
9;green interactive;users Shirt;../fake-data/blob/hipster.png;image/png;82665;../fake-data/blob/hipster.png;image/png
10;Marketing;Ball Ergonomic invoice;../fake-data/blob/hipster.png;image/png;95259;../fake-data/blob/hipster.png;image/png
