id;booking_id;lease_title;liability_account_number;liability_amount;interest_payable_account_number;interest_payable_amount
1;Loan Eritrea Division;Avon;Bhutanese;73480;indexing;97651
2;Stand-alone;optimal;overriding;68069;back-end Rial;95978
3;Faroe;optical Savings Illinois;Account Cotton;31955;SAS;62396
4;ubiquitous payment;program Licensed;JBOD;57538;Factors metrics;11175
5;Indiana overriding object-oriented;Interactions SCSI;exuding Clothing;97167;Hat Wyoming;54196
6;Account HDD parsing;Incredible;Account Intelligent Tugrik;5530;Account Towels digital;33806
7;programming Fresh Granite;capacitor Planner;Wisconsin Port Ergonomic;98845;Montana actuating benchmark;85330
8;wireless Steel;purple;Forges Branch payment;49744;Wooden object-oriented connecting;77314
9;enterprise;Dakota Rial;Home invoice Faroe;71123;Bedfordshire repurpose Practical;92211
10;Mobility;Fiji Moldova Concrete;collaborative;63651;compressing hard;82776
