id;issuer_of_securities_code;issuer_of_securities;issuer_of_securities_description
1;panel SSL;executive Cotton RSS;../fake-data/blob/hipster.txt
2;Montana;strategize Directives;../fake-data/blob/hipster.txt
3;frictionless Refined Shoes;capacitor robust;../fake-data/blob/hipster.txt
4;EXE Georgia;Producer;../fake-data/blob/hipster.txt
5;Customer Verde Gibraltar;Netherlands;../fake-data/blob/hipster.txt
6;Dinar;Optimization Dynamic;../fake-data/blob/hipster.txt
7;Awesome;Customer Bedfordshire;../fake-data/blob/hipster.txt
8;Electronics;transmitting Books Administrator;../fake-data/blob/hipster.txt
9;Creek user-centric;analyzing Guinea China;../fake-data/blob/hipster.txt
10;Rustic hacking;multi-state;../fake-data/blob/hipster.txt
