id;invoice_number;invoice_date;invoice_amount;currency;payment_reference;dealer_name;file_upload_token;compilation_token
1;Texas Focused;2021-06-27;15184;ZAR;Unbranded gold;model Australia;Intranet bypassing national;Consultant
2;Soft Central;2021-06-27;59835;CNY;access;lime Synergized;Engineer Shirt Court;back-end synergy transmitting
3;Buckinghamshire strategic Krona;2021-06-26;92472;GBP;iterate;Fresh;sticky Awesome Integration;Cotton Lead Well
4;Agent Towels Groves;2021-06-27;97975;JPY;compressing reintermediate auxiliary;neural Gorgeous Colorado;back Louisiana;Account
5;Intuitive applications;2021-06-27;70805;CNY;Soap;Home Barbados;tan RAM reboot;Loan sticky
6;maroon bypassing;2021-06-26;24697;CAD;program Cotton Inverse;payment visionary;Response generation;Chair Associate
7;pink value-added;2021-06-27;52363;USD;Pizza haptic;Devolved;HTTP deploy Fresh;deposit transmit
8;Automotive orchestrate;2021-06-26;30892;EUR;USB feed;SMS Handcrafted Wooden;online;silver Real
9;Practical Avon;2021-06-27;76997;AED;mission-critical Trail cross-platform;Island;Ville Credit;Account Arkansas Interactions
10;Small;2021-06-27;41596;KES;matrix Health Baby;CSS;Buckinghamshire;withdrawal
