id;contract_status_code;contract_status_type;contract_status_type_description
1;Albania Awesome virtual;services;../fake-data/blob/hipster.txt
2;target;Regional;../fake-data/blob/hipster.txt
3;quantify deposit Buckinghamshire;deposit synergies;../fake-data/blob/hipster.txt
4;Grocery;Industrial Account Turnpike;../fake-data/blob/hipster.txt
5;Ergonomic Architect;Unbranded Customer;../fake-data/blob/hipster.txt
6;Keys indexing Associate;Lebanese withdrawal;../fake-data/blob/hipster.txt
7;architecture hacking;next-generation;../fake-data/blob/hipster.txt
8;Public-key generation;Operations Pennsylvania up;../fake-data/blob/hipster.txt
9;productize backing Nakfa;ubiquitous Dynamic;../fake-data/blob/hipster.txt
10;multimedia Plastic;Buckinghamshire Money utilize;../fake-data/blob/hipster.txt
