id;sector_type_code;main_sector_code;main_sector_type_name;sub_sector_code;sub_sector_name;sub_sub_sector_code;sub_sub_sector_name
1;Tasty;Bulgaria;Jewelery;override;morph Parkways;integrated;mesh
2;Congolese Account;Brazil Sudan primary;protocol;Malta Ergonomic;solutions New initiatives;Shoes;bus
3;exploit;Gorgeous infrastructures;Pound;CFA Dale Handmade;Virginia;Pre-emptive;streamline
4;Salvador;withdrawal;Denar;virtual;Concrete;proactive;compress transmit Sleek
5;Home Keyboard;Avon;Lane SMTP;Maine deploy responsive;Keyboard;Fresh Plastic Poland;Intelligent Cheese
6;Flat;budgetary intermediate invoice;Principal Unbranded synergize;Bacon;Dollar;District best-of-breed Account;Account Global Frozen
7;Keyboard;hacking;program Investor;Operations out-of-the-box;Borders;Product;Islands
8;Account infomediaries SAS;Kids connecting Digitized;Grass-roots;Baby;Computers District;Cotton Granite Tasty;Frozen neural Awesome
9;Small IB;Administrator;empower;Assurance Consultant;interface;auxiliary Namibia;Devolved
10;Account;deposit Soft Lead;PCI;indexing;AGP enable transmit;Fresh Creative COM;Kids calculating integrate
