id;description;serial_number;time_of_requisition;requisition_number;payment_amount;payment_status;transaction_id;transaction_date;settlement_currency_id;current_owner_id;native_owner_id;native_department_id;biller_id
1;Tools Table;b8e46e7b-6b2f-4bd7-b295-79048741cf95;2022-10-19T03:05:21;bypassing;70738;IN_PROCESS;Concrete;2022-10-19;1;1;1;1;1
2;Illinois Horizontal;4af7fa68-748e-4ff4-b254-51ca506a7a5e;2022-10-19T05:51:50;Electronics Hryvnia;17238;IN_PROCESS;Wyoming;2022-10-19;2;2;2;2;2
3;Plastic channels;488605bb-b5fa-451f-b33f-b85f6e5bfad8;2022-10-19T07:53:58;calculating invoice eco-centric;2154;SENT_FOR_FURTHER_APPROVAL;Integration;2022-10-19;3;1;2;3;3
4;multimedia Marketing Loan;bcbd2b60-d039-4295-a038-2f6c88058dcb;2022-10-18T20:04:04;digital;4648;PROCESSED;Rubber Accounts Pennsylvania;2022-10-19;4;1;1;4;4
5;regional back-end;ecf78787-c523-4feb-87f6-eb3ccb52a98b;2022-10-19T04:35:16;bluetooth transmit e-business;3108;SENT_FOR_FURTHER_APPROVAL;secondary Auto Avon;2022-10-18;5;2;1;5;5
6;Digitized;9296c35c-d551-4e84-b744-88166f43075f;2022-10-19T02:16:10;Steel;92050;RETURNED_TO_SENDER;Boliviano synergistic Practical;2022-10-18;6;1;2;6;6
7;evolve;5a654945-cbde-4043-9df9-329ff8760af3;2022-10-18T23:45:43;program Multi-layered;61691;PROCESSED;Stream;2022-10-19;7;1;2;7;7
8;Networked Bike open-source;e3164bd8-5ad6-4a8e-8a5b-d67d9126d963;2022-10-19T02:05:20;success;72431;SENT_FOR_FURTHER_APPROVAL;Soap;2022-10-18;8;1;1;8;8
9;info-mediaries Switzerland;08a85898-10c8-4911-93da-82b03d7073f4;2022-10-19T07:41:47;maroon;57686;PROCESSED;Handmade TCP;2022-10-18;9;1;1;9;9
10;Pine panel Vanuatu;dfb0c6bb-d1b1-46f6-a676-bb32023e67b9;2022-10-18T15:19:02;Steel;37021;PROCESSED;Pizza payment Unbranded;2022-10-19;10;2;1;10;10
