id;asset_category_name;description;notes;remarks;depreciation_rate_yearly;depreciation_method_id
1;green Garden;supply-chains Cambridgeshire AGP;Account Bedfordshire HDD;../fake-data/blob/hipster.txt;43433;1
2;Manager sensor incubate;AGP Shilling;Gorgeous Senior withdrawal;../fake-data/blob/hipster.txt;97522;2
3;Markets;invoice;firewall Pants parsing;../fake-data/blob/hipster.txt;45602;3
4;Fish bus Investment;Shoes GB;program multi-tasking yellow;../fake-data/blob/hipster.txt;71150;4
5;Metical Gloves Sausages;Loan Mill;payment Frozen Camp;../fake-data/blob/hipster.txt;18347;5
6;protocol Handcrafted teal;state Georgia transmitter;cultivate;../fake-data/blob/hipster.txt;42851;6
7;database Loan Senior;sexy global deposit;Senior;../fake-data/blob/hipster.txt;54804;7
8;Handmade Granite Table;SQL;Producer Awesome;../fake-data/blob/hipster.txt;83652;8
9;Interactions calculating;wireless attitude;THX Metrics;../fake-data/blob/hipster.txt;35077;9
10;Gloves;Rustic Forward San;intelligence transmitting;../fake-data/blob/hipster.txt;7739;10
