id;prepayment_account;prepayment_amount;amortised_amount;outstanding_amount;number_of_prepayment_accounts;number_of_amortised_items
1;Wooden deliver;84881;21086;8405;36208;54340
2;customized Soft;9190;88533;73485;54232;65813
3;transition Steel Metal;16028;60428;87781;55496;7562
4;administration;52505;79841;82172;19010;31775
5;Avon;66199;41061;76027;63507;57589
6;De-engineered;6536;83492;69687;86667;83620
7;Account Balboa Guinea;2330;97365;79303;63615;89264
8;bus hub Horizontal;15050;45938;57930;12230;31438
9;asymmetric deposit haptic;86937;35874;85772;60020;5182
10;Jewelery;12742;77432;7358;41745;26504
