id;name;identifier;lease_contract_id;debit_id;credit_id
1;Loan generating Frozen;7491789b-a94b-4210-9112-6533b9bb26b6;1;1;1
2;Loan deposit Small;d691f8b5-109a-4a78-9a75-5664a20b7c6f;2;2;2
3;Direct Graphical port;d9f8d502-2db8-461f-b74f-895b25953ef5;3;3;3
4;Legacy;7f767224-8dd8-417e-b272-d05207368b64;4;4;4
5;Metrics Visionary;7f5fedc7-d24e-42fe-a999-856476ffc411;5;5;5
6;Avon grid-enabled;66e2cbd3-8ec5-42f2-80e6-a2a8a020e84d;6;6;6
7;Reunion green;c3cf7a4d-e6a6-48e2-af43-8bb0f0e5d027;7;7;7
8;Granite;687f75c6-f12e-49ac-bbb1-908d804da133;8;8;8
9;interactive National;4a7ade8c-35d0-47ee-b1ec-466ebc337f10;9;9;9
10;Customer embrace;b0d20064-cdca-43a3-9490-6486dbe676b0;10;10;10
