id;counterparty_deal_code;counterparty_deal_type_details;counterparty_deal_type_description
1;Health Personal Account;well-modulated;../fake-data/blob/hipster.txt
2;Security;tertiary yellow;../fake-data/blob/hipster.txt
3;monetize wireless;synergy;../fake-data/blob/hipster.txt
4;Account Burundi;Optimization human-resource;../fake-data/blob/hipster.txt
5;neural;RAM International;../fake-data/blob/hipster.txt
6;mission-critical Dynamic Accountability;bypass;../fake-data/blob/hipster.txt
7;Jersey Generic Bike;Tajikistan Rubber Czech;../fake-data/blob/hipster.txt
8;Frozen bottom-line Checking;Home Shoes facilitate;../fake-data/blob/hipster.txt
9;Arizona quantifying Causeway;navigate Lead;../fake-data/blob/hipster.txt
10;harness alarm;protocol;../fake-data/blob/hipster.txt
