id;card_brand_type_code;card_brand_type;card_brand_type_details
1;Underpass Quality;one-to-one Hawaii;../fake-data/blob/hipster.txt
2;Assimilated Ranch;Malawi Web Adaptive;../fake-data/blob/hipster.txt
3;feed;invoice conglomeration Re-contextualized;../fake-data/blob/hipster.txt
4;Cotton;functionalities;../fake-data/blob/hipster.txt
5;Baby Architect Pizza;encoding Samoa system;../fake-data/blob/hipster.txt
6;Towels Developer Car;Shoes Regional Supervisor;../fake-data/blob/hipster.txt
7;Avon;ability Infrastructure;../fake-data/blob/hipster.txt
8;Somoni Maryland Cambridgeshire;Analyst;../fake-data/blob/hipster.txt
9;AI;Division Operations;../fake-data/blob/hipster.txt
10;Awesome indigo;Gibraltar District;../fake-data/blob/hipster.txt
