id;sequence_number;opening_balance;cash_payment;principal_payment;interest_payment;outstanding_balance;interest_payable_opening;interest_accrued;interest_payable_closing;amortization_schedule_id
1;21951;31884;19058;64515;5767;48325;17372;1118;72431;44911
2;38939;59953;80042;29465;50298;93523;98281;82369;25645;43932
3;92503;1142;13344;4183;90596;20941;69365;63622;97126;77555
4;45416;20588;21778;43505;67897;11228;61074;87797;50977;20602
5;64149;31726;40989;57483;38487;47671;81108;37940;90571;60480
6;26546;83570;74285;61927;17260;19116;4510;30544;92819;22731
7;50464;53790;33043;11662;69951;75309;91164;516;63087;47876
8;44869;57099;58549;73500;67517;41555;45223;47249;82104;47520
9;43543;25339;42120;7907;15557;84182;58932;71406;68002;54929
10;60663;49027;71260;17943;42096;42233;87833;35128;98492;62707
