id;credit_facility_type_code;credit_facility_type;credit_facility_description
1;Bacon Moldova;digital;../fake-data/blob/hipster.txt
2;Executive Fort;Account transmitter;../fake-data/blob/hipster.txt
3;Refined;infomediaries markets;../fake-data/blob/hipster.txt
4;Granite Chicken Accountability;Steel digital;../fake-data/blob/hipster.txt
5;navigating Islands;Technician bypassing;../fake-data/blob/hipster.txt
6;edge;compelling;../fake-data/blob/hipster.txt
7;Loan convergence;purple transition;../fake-data/blob/hipster.txt
8;Forward Oro maroon;deliver Qatari;../fake-data/blob/hipster.txt
9;Thailand;generate Denar;../fake-data/blob/hipster.txt
10;Account;Dam Enhanced target;../fake-data/blob/hipster.txt
