id;ultimate_beneficiary_category_type_code;ultimate_beneficiary_type;ultimate_beneficiary_category_type_details
1;payment Tasty;transmitter policy payment;../fake-data/blob/hipster.txt
2;area;Music;../fake-data/blob/hipster.txt
3;Locks Buckinghamshire Awesome;portals;../fake-data/blob/hipster.txt
4;ivory Buckinghamshire;context-sensitive;../fake-data/blob/hipster.txt
5;Technician orchid Forward;incentivize;../fake-data/blob/hipster.txt
6;Senior;Division azure;../fake-data/blob/hipster.txt
7;digital;Handmade;../fake-data/blob/hipster.txt
8;Intuitive Human;compressing Applications;../fake-data/blob/hipster.txt
9;program Concrete XSS;navigating Nevada;../fake-data/blob/hipster.txt
10;Bedfordshire Virginia;Sleek Administrator;../fake-data/blob/hipster.txt
