id;anticipated_maturity_tenor_code;aniticipated_maturity_tenor_type;anticipated_maturity_tenor_details
1;strategy Soft;intangible digital;../fake-data/blob/hipster.txt
2;transmitter Berkshire;withdrawal Frozen;../fake-data/blob/hipster.txt
3;payment;bandwidth Cotton Idaho;../fake-data/blob/hipster.txt
4;Account Corner Fords;override;../fake-data/blob/hipster.txt
5;JBOD Glen;invoice;../fake-data/blob/hipster.txt
6;Orchestrator systematic;Developer back-end Nevada;../fake-data/blob/hipster.txt
7;e-markets Nauru Frozen;Metal hybrid;../fake-data/blob/hipster.txt
8;Auto Optimization;platforms;../fake-data/blob/hipster.txt
9;Dollar;Rubber;../fake-data/blob/hipster.txt
10;Regional strategy Ball;AGP Rest Indiana;../fake-data/blob/hipster.txt
