id;requisition_id;time_of_request;compilation_process_status;number_of_enumerated_items;batch_job_identifier;compilation_time;invalidated
1;da271446-b126-401b-b7f5-40435353fb88;2024-10-14T15:21:47;STARTED;8216;50a7f55f-72b3-4c26-a8b5-43e798a83030;2024-10-14T11:31:39;false
2;944e1ff8-e686-49c1-9af3-e48fab1332c0;2024-10-14T06:58:29;ERRORED;84340;3a767f7e-c4cc-4923-b82b-c222b494d6d7;2024-10-13T20:10:36;false
3;b5f16beb-a019-493a-a205-be340c65978e;2024-10-14T02:51:45;STARTED;96092;c41ed11f-5035-4cb6-9c72-35f3c1ebef46;2024-10-14T13:46:29;true
4;382221bc-dbba-4555-ba6d-3e3d3a60e2bd;2024-10-13T20:45:36;STARTED;95121;7d770b01-ac4e-4e01-acda-75ee108fc22a;2024-10-13T19:44:23;false
5;0ff4cb23-e8a6-49cb-8647-1bb423b89a53;2024-10-14T15:08:54;INVALIDATED;25275;bf0614a8-7e8a-47d1-b55c-565c6438e5fc;2024-10-14T13:35:04;true
6;cb5dbb9b-dd2a-4525-b5b9-745c788b35dd;2024-10-14T11:14:01;RUNNING;18143;4bc3e45d-c072-4fef-88b3-911b38e65e17;2024-10-14T07:59:29;true
7;f8403885-fd1c-415e-afb5-2e31faeaaab5;2024-10-14T04:00:46;COMPLETE;47123;bff9eda8-1759-48c2-b112-a16990eae198;2024-10-14T12:09:24;false
8;ea09e8bd-ef3c-45d7-9693-ecf54cdde2f6;2024-10-14T03:21:20;INVALIDATED;4754;f0b3e8a3-d2ec-4e63-8a0b-ad7d05e522e3;2024-10-14T11:00:52;true
9;5f32e122-1883-4477-b55b-0c38be4dcc74;2024-10-13T18:09:23;INVALIDATED;8062;a97954b4-a3ac-4a64-8bc4-f28c2de91050;2024-10-14T06:51:32;true
10;177978cc-5c48-47ce-a285-8289beae325c;2024-10-13T16:35:27;INVALIDATED;66826;b023634e-ad07-4e48-b7d9-93937d923c61;2024-10-14T01:31:40;true
