id;report_name;time_of_requisition;file_checksum;tampered;filename;report_parameters;report_file;report_file_content_type;amortization_period_id
1;card Industrial programming;2024-04-29T15:05:13;Intelligent;true;b98fdfb4-1366-487d-becc-0274d9628374;Infrastructure Division;../fake-data/blob/hipster.png;image/png;1
2;withdrawal parsing synergies;2024-04-30T00:06:33;Avon;false;788d4c4d-24ea-43a9-bf67-d7431b96ccd3;parsing;../fake-data/blob/hipster.png;image/png;2
3;vortals Handcrafted;2024-04-29T20:47:02;Rubber;false;23645c3d-fece-428d-bbd2-75d6340ef0d3;payment Assimilated;../fake-data/blob/hipster.png;image/png;3
4;systems Books Director;2024-04-30T05:56:52;Developer;false;45ac7df2-b48b-4f54-ab08-0d781473e10f;Plastic;../fake-data/blob/hipster.png;image/png;4
5;Implementation open-source strategize;2024-04-30T02:28:14;upward-trending Generic Intranet;true;d6130025-9bba-4efc-aaf1-e26c6431f53a;auxiliary Soft Salvador;../fake-data/blob/hipster.png;image/png;5
6;Alabama;2024-04-30T07:16:55;quantify;false;d88915de-5461-4af1-9033-73ee00fd71fc;revolutionize Chips Assimilated;../fake-data/blob/hipster.png;image/png;6
7;Soft Chief;2024-04-30T00:02:21;intangible;true;18861f8b-1a9a-42d9-bea4-d65f1ddd289d;projection Intelligent;../fake-data/blob/hipster.png;image/png;7
8;overriding National deposit;2024-04-30T03:22:11;methodologies tan;true;f6a0bcfe-cc20-4a80-a535-f11f4089ed61;Division recontextualize Triple-buffered;../fake-data/blob/hipster.png;image/png;8
9;Games Hat;2024-04-29T19:19:12;Sudanese bricks-and-clicks;false;4e970ebe-0826-45c0-8597-52597498b377;Rubber indigo Aruban;../fake-data/blob/hipster.png;image/png;9
10;bricks-and-clicks;2024-04-30T06:31:12;AGP Unbranded Tactics;true;fa94909c-20b6-4d7c-89f3-ac512edb7bdd;Carolina;../fake-data/blob/hipster.png;image/png;10
