id;card_performance_flag;card_performance_flag_description;card_performance_flag_details
1;N;Analyst strategy;../fake-data/blob/hipster.txt
2;N;Hat e-commerce Granite;../fake-data/blob/hipster.txt
3;N;state multi-state Movies;../fake-data/blob/hipster.txt
4;Y;Agent sensor Station;../fake-data/blob/hipster.txt
5;N;innovative;../fake-data/blob/hipster.txt
6;Y;SCSI Bedfordshire;../fake-data/blob/hipster.txt
7;Y;digital;../fake-data/blob/hipster.txt
8;Y;Generic;../fake-data/blob/hipster.txt
9;N;Operations Account;../fake-data/blob/hipster.txt
10;Y;International Outdoors Money;../fake-data/blob/hipster.txt
