id;content_type_name;content_type_header;comments;availability
1;Integration;users Ergonomic;../fake-data/blob/hipster.txt;NOT_SUPPORTED
2;navigating web-readiness;Investment;../fake-data/blob/hipster.txt;SUPPORTED
3;Fish synthesize Hat;Passage Soft Universal;../fake-data/blob/hipster.txt;NOT_SUPPORTED
4;Computer;application;../fake-data/blob/hipster.txt;NOT_SUPPORTED
5;eyeballs;end-to-end mesh;../fake-data/blob/hipster.txt;SUPPORTED
6;index Handmade Sleek;Communications;../fake-data/blob/hipster.txt;NOT_SUPPORTED
7;compressing;radical;../fake-data/blob/hipster.txt;NOT_SUPPORTED
8;Sausages extensible Chicken;olive;../fake-data/blob/hipster.txt;NOT_SUPPORTED
9;Licensed unleash deposit;hierarchy AGP;../fake-data/blob/hipster.txt;SUPPORTED
10;mindshare Handcrafted PCI;mint Bike;../fake-data/blob/hipster.txt;SUPPORTED
