id;asset_tag;description;model_number;serial_number;expiry_date;dealer_id;asset_registration_id
1;connect Buckinghamshire TCP;Advanced Plastic Mouse;synthesizing cross-platform e-services;enable azure parsing;2023-05-04;1;1
2;TCP Senior;copy;Mexico redundant Belarus;circuit;2023-05-04;2;2
3;Loop payment;Data Practical reintermediate;green;Direct Regional;2023-05-04;3;3
4;deposit Chair;parse Ball;process Nakfa up;panel blue;2023-05-04;4;4
5;Bedfordshire Bedfordshire Mobility;COM;Sausages;overriding Pre-emptive;2023-05-05;5;5
6;Mill Via;Program;Functionality;Tuna Concrete;2023-05-05;6;6
7;reinvent Bedfordshire background;visualize Point;withdrawal Account;efficient Plastic;2023-05-05;7;7
8;Checking Open-source invoice;visionary compressing;primary haptic Missouri;Wisconsin;2023-05-05;8;8
9;robust;HTTP;Metrics open-source;Internal Sleek Account;2023-05-05;9;9
10;Senior Minnesota;Branding;target data-warehouse Fuerte;Tasty;2023-05-04;10;10
