id;asset_number;nbv_amount;previous_nbv_amount;asset_description;batch_sequence_number;processed_items;total_items_processed;elapsed_months;prior_months;useful_life_years;capitalization_date;transaction_number;transaction_date;depreciation_period_start_date;depreciation_period_end_date;service_outlet_code;asset_category_name;depreciation_period_title;compilation_job_title
1;distributed intuitive;38332;53810;convergence hard strategic;invoice Strategist Frozen;61850;63592;91601;30921;99313;value-added;Wisconsin;executive responsive generate;Hat Overpass program;payment;strategize grid-enabled Kids;Legacy Missouri;Product Metal Gorgeous;Chicken THX
2;Bacon;73417;82801;Gateway;Infrastructure foreground;20136;48307;34287;99521;79332;matrix Mills Usability;teal payment;Soft middleware;Polarised Account;Principal Licensed;purple;Chad virtual;COM Customer Colon;Concrete Shoes navigating
3;extensible Practical;65076;38728;Wooden Small Frozen;CSS Uruguay withdrawal;74045;63994;16592;54098;57127;overriding;bypassing;Chad robust Brook;Kids;synergies Dakota;GB Soap Dynamic;Shirt Account;copying;Shirt Small application
4;Beauty;34694;94838;communities Reunion;Parks;23709;68922;44211;39582;85349;Money;coherent;Chicken;Computer;Denar complexity;Towels calculate;Thailand relationships;Customizable state Alley;AGP Frozen
5;Card e-commerce Supervisor;26145;46918;fuchsia Egypt;mindshare;18585;67850;62423;15679;92585;Movies Pizza Multi-channelled;web-enabled Dollar TCP;Movies innovative;matrix Berkshire;payment;e-services seamless best-of-breed;Fully-configurable Car;Incredible payment CSS;complexity transmitting
6;Sleek;70395;9265;withdrawal;Avon Sports;53602;67619;5868;43748;63908;Re-engineered brand and;calculate;Rial dynamic;logistical Shoes Concrete;Pants multi-byte payment;Spring;incentivize synergize Handmade;Auto application;Money
7;Tools Awesome;24345;35557;Associate;Account Sleek back-end;91914;67662;30072;69382;26708;blue brand;Loan Chair;Refined Dollar;withdrawal;quantifying Practical;Soft SQL Dollar;Borders whiteboard Beauty;Analyst;Avon Territory
8;Quetzal;76878;40871;Handmade Forward Cotton;Visionary Orchestrator;28255;29053;45896;23354;54490;invoice reboot Granite;virtual Nepal Shore;Ball Dollar Hungary;Industrial Account multi-byte;Credit;auxiliary interfaces;indigo 1080p;enable Knoll compress;South Serbian withdrawal
9;Estate AI leading-edge;89925;93664;Facilitator Rustic function;Junctions target;22045;17019;61223;1229;80155;Cotton generating;Dinar Chief;circuit Handmade Buckinghamshire;Afghani PNG Belarus;Automotive haptic;open-source Pakistan;Program for;HDD;quantifying synthesize Baby
10;innovative cohesive Response;93921;60213;Codes Saudi Grocery;Russian Sausages;20831;81117;64791;61104;60350;engage solution-oriented tertiary;Minnesota Albania artificial;Directives;Customer;models;Berkshire Computers;Concrete Centralized Grocery;drive New payment;firmware Franc
