id;outlet_code;outlet_name;town;parliamentary_constituency;gps_coordinates;outlet_opening_date;regulator_approval_date;outlet_closure_date;date_last_modified;license_fee_payable
1;Licensed;California;Mouse Account;overriding;hack Buckinghamshire;2022-03-01;2022-03-01;2022-02-28;2022-02-28;44578
2;District Incredible;enterprise systematic transmit;transmit;cross-platform mission-critical Central;platforms;2022-03-01;2022-03-01;2022-02-28;2022-02-28;54810
3;Syrian Bhutan Oklahoma;program Lead;bluetooth Computers;Director initiatives Michigan;Fish Kids;2022-02-28;2022-02-28;2022-02-28;2022-03-01;15218
4;SCSI;infomediaries RAM Intelligent;Incredible;Gloves morph;National TCP;2022-02-28;2022-03-01;2022-03-01;2022-02-28;68908
5;channels compress Won;synthesizing Virtual Coordinator;niches Cotton;hour;neural Integration;2022-03-01;2022-03-01;2022-03-01;2022-03-01;14234
6;Thailand Awesome;Buckinghamshire;Buckinghamshire synergize;azure Applications;Villages reintermediate;2022-03-01;2022-03-01;2022-02-28;2022-03-01;49447
7;Granite;Branding encoding Avon;innovate multi-byte function;multi-byte;Baby Rustic;2022-02-28;2022-02-28;2022-02-28;2022-03-01;19046
8;Electronics programming;Steel Salad;models Liaison;attitude Lead back-end;white;2022-03-01;2022-03-01;2022-02-28;2022-02-28;49831
9;synthesize;full-range matrix Global;Functionality;Mouse Direct Escudo;workforce Fresh;2022-03-01;2022-02-28;2022-02-28;2022-03-01;54852
10;bluetooth Incredible utilize;Tasty Bedfordshire Account;supply-chains invoice Ergonomic;Data;Soap Credit exuding;2022-03-01;2022-03-01;2022-02-28;2022-03-01;43203
