id;channels_type_code;channel_types;channel_type_details
1;robust backing;User-centric;../fake-data/blob/hipster.txt
2;Product system Agent;Orchestrator primary;../fake-data/blob/hipster.txt
3;Global;California Music;../fake-data/blob/hipster.txt
4;Bypass Factors;Buckinghamshire pixel e-business;../fake-data/blob/hipster.txt
5;PCI;Checking;../fake-data/blob/hipster.txt
6;Industrial exploit;program;../fake-data/blob/hipster.txt
7;incentivize Buckinghamshire;CSS;../fake-data/blob/hipster.txt
8;Account GB Bike;redundant;../fake-data/blob/hipster.txt
9;Pants rich Concrete;New;../fake-data/blob/hipster.txt
10;grey;Passage Enterprise-wide Bike;../fake-data/blob/hipster.txt
