id;agricultural_enterprise_activity_type_code;agricultural_enterprise_activity_type;agricultural_enterprise_activity_type_description
1;HDD COM THX;Forint;../fake-data/blob/hipster.txt
2;Iowa;microchip Fully-configurable;../fake-data/blob/hipster.txt
3;Ports Cape connect;programming;../fake-data/blob/hipster.txt
4;Rupee;Rustic back-end;../fake-data/blob/hipster.txt
5;background granular Licensed;Unbranded;../fake-data/blob/hipster.txt
6;invoice quantify Right-sized;purple;../fake-data/blob/hipster.txt
7;deposit;Peru United;../fake-data/blob/hipster.txt
8;Beauty;architecture Fantastic;../fake-data/blob/hipster.txt
9;Ngultrum TCP;cross-media index Guinea;../fake-data/blob/hipster.txt
10;Orchestrator demand-driven Sleek;Technician bandwidth;../fake-data/blob/hipster.txt
